"","sampleID","uniqueID","siteID","site","type","mesq_type","litterdepth","SWC","TOC","pH","BG","CB","NAG","PHOS","XYL","AG","LAP","DOC","MBC","DON","MBN","OM.","NH4i","NH4f","NO3i","NO3f","nminer","DNAconc.ng.µL","dna"
"48","D2bare",43,"D2","D","bare","bare",0,0.039998752,0.084,9.13,2.6970141,0.3313458,0.247726704,9.223285483,0.666707044,0.274272449,31.23438373,48.27,47.72222222,0.526,15.0787037,0.521836367,1.420171183,1.03506428,3.633022786,2.723245723,-1.294883966,9.85,9.85
"49","D2cres",45,"D2","D","cres","cres",1.35,0.022182015,0.1,8.96,8.744921891,1.107644239,0.219718757,18.7891487,2.504922322,0.883511886,44.75579039,155.97,439.9444444,15.936,340.4768519,0.621735887,1.450099999,1.056020599,5.323455635,4.885298872,-0.832236163,12.608,12.608
"50","D2grass",44,"D2","D","grass","grass",0.2,0.039640707,0.094,8.92,12.33353078,1.879943964,0.34256502,20.36262717,3.95886127,1.222933609,45.77574142,46.87,121.9444444,8.716,12.1287037,0.579245748,1.788796557,1.317985303,3.595035514,2.588303911,-1.477542857,9.919,9.919
"51","D2mesq1-1BOLE",46,"D2","D","mesq","bole",1.85,0.014064084,0.178,8.53,10.69923987,2.161917384,0.732927103,23.41956838,2.326493289,1.021250621,55.53751776,336.22,94.16666667,38.301,23.78240741,1.100735885,3.086603176,2.796279115,6.430272691,5.701036073,-1.019560679,42.114,42.114
"52","D2mesq1-1DRIP",48,"D2","D","mesq","drip",0.6,0.032396271,0.085,8.85,7.722390976,7.752842092,0.865669856,16.30612535,1.786598584,0.76257108,46.41100416,60.67,88.94444444,7.441,16.56944444,0.516748739,1.748407193,1.051598807,6.243627622,5.148730604,-1.791705404,8.868,8.868
"53","D2mesq1-1MIDD",47,"D2","D","mesq","midd",0.8,0.022531871,0.109,8.71,21.45799153,16.72970667,0.948050793,29.99341153,6.169033736,2.246169851,56.22955397,116.37,150.7222222,15.856,13.16203704,0.666299896,1.703231438,1.393170361,8.247872236,7.141595808,-1.416337505,15.931,15.931
"54","E1bare",49,"E1","E","bare","bare",0,0.057996318,0.285,9.08,3.688126486,0.237660054,0.093053778,14.33498675,0.756725176,0.177853755,49.18873607,63.2365,127.8222222,3.9685,20.025,0.760628786,1.992977209,1.450899097,2.987430462,2.344604988,-1.184903586,9.467,9.467
"55","E1cres",51,"E1","E","cres","cres",2,0.022843055,0.095,8.88,9.290991397,1.133219424,0.198773887,18.25875491,2.257883941,0.868078307,40.47491276,80.2865,161.2666667,12.3835,18.40462963,0.23647135,1.636482649,1.35999287,8.322462155,7.693057311,-0.905894623,7.224,7.224
"56","E1grass",50,"E1","E","grass","grass",4.5,0.031512388,0.107,9.02,7.903870225,1.157850991,0.36089044,16.89306042,2.572318415,0.952579686,30.47857169,44.5365,100.9333333,3.7935,10.31203704,0.263891287,1.661559359,1.067537711,0.849712738,0.286250745,-1.157483641,11.156,11.156
"57","E1mesq1-1BOLE",52,"E1","E","mesq","bole",0.8,0.028479157,0.183,8.84,11.49359364,11.9744243,0.627184291,25.8812468,3.430817886,1.455231043,55.86303557,202.6365,211.0444444,28.3335,19.06203704,0.509990803,2.91872185,2.064013855,5.386660468,4.849195461,-1.392173002,11.667,11.667
"58","E1mesq1-1DRIP",54,"E1","E","mesq","drip",2,0.037409639,0.142,8.87,14.47429444,2.694555979,0.578939575,22.28356509,5.010662198,1.894734138,51.58948533,95.4365,234.9333333,12.5985,27.87685185,0.882261572,1.886996268,1.460209668,5.818659718,5.396973743,-0.848472575,11.563,11.563
"59","E1mesq1-1MIDD",53,"E1","E","mesq","midd",1.55,0.02128594,0.169,8.61,19.92767714,4.273033033,0.905040821,29.42983722,7.277754818,2.882313473,72.32722359,236.8865,93.48888889,40.3285,23.77685185,0.421993608,2.995228723,2.979818285,12.76576255,13.27237063,0.491197641999998,27.681,27.681
"60","E2bare",37,"E2","E","bare","bare",0,0.048729836,0.109,9.09,2.817582354,0.265706858,0.188992652,10.44342568,0.618140945,0.180418711,4.333629906,14.54,71.95555556,NA,7.675,0.287008268,1.885501523,1.340383368,3.718514143,3.119249467,-1.144382831,5.147,5.147
"61","E2cres",39,"E2","E","cres","cres",0.45,0.041324294,0.098,9.06,4.297260482,0.475645484,0.254432521,12.83736944,0.797800283,0.317574862,37.61795271,39.165,108.6777778,0.2395,12.83240741,0.278250994,1.63739628,1.389349383,3.772620421,2.751757867,-1.268909451,10.945,10.945
"62","E2grass",38,"E2","E","grass","grass",0.2,0.063812807,0.158,8.66,13.59056964,2.806653832,0.481748695,23.81775971,5.532769592,1.860680161,67.31417261,59.615,156.6777778,12.4295,23.7212963,0.970814132,9.753428815,8.237176537,12.2035992,12.3612317,-1.358619778,16.704,16.704
"63","E2mesq1-1BOLE",40,"E1","E","mesq","bole",1.65,0.018316847,0.225,8.42,38.83739963,7.522477154,2.836250251,29.52317955,13.69525231,5.976636377,71.87364482,245.6365,218.8222222,40.3485,29.13611111,0.872803445,3.236117501,3.002971848,10.70662614,10.63539634,-0.304375453,18.854,18.854
"64","E2mesq1-1DRIP",42,"E2","E","mesq","drip",0,0.032768607,0.106,9.01,8.164215979,1.281285198,0.486588703,20.10914865,2.124093049,0.801889907,56.65156322,48.3865,138.8222222,3.0935,18.88611111,0.405943627,1.612861037,1.171311933,2.359718207,1.759227256,-1.042040055,12.53,12.53
"65","E2mesq1-1MIDD",41,"E2","E","mesq","midd",0.35,0.02216998,0.15,8.84,14.93842927,14.79034475,0.720124163,23.8335776,4.985659508,2.115097924,58.06901816,197.2865,275.4888889,21.5985,62.74722222,0.579710145,2.33359038,1.830129475,4.42919585,4.002967716,-0.929689039,21.838,21.838
